sex,relday,stage,stageday,subject,GroupCount,aucvalues,led,cue,last10days
F,5,5,1,rat2,201,1.876865134,dff,DS,NaN
F,6,5,2,rat2,201,4.14508909,dff,DS,NaN
F,7,5,3,rat2,201,4.756046415,dff,DS,1
F,8,5,2,rat12,201,6.197486965,dff,DS,2
F,8,5,4,rat2,201,3.480959533,dff,DS,2
F,9,5,3,rat12,201,4.504823216,dff,DS,3
F,9,5,5,rat2,201,4.47061416,dff,DS,3
F,10,5,1,rat9,201,5.008315046,dff,DS,NaN
F,10,5,4,rat12,201,6.029357006,dff,DS,4
F,10,5,6,rat2,201,5.683078748,dff,DS,4
F,11,5,2,rat9,201,4.713627522,dff,DS,NaN
F,11,5,5,rat12,201,5.872067737,dff,DS,5
F,11,5,7,rat2,201,7.068090103,dff,DS,5
F,12,5,1,rat16,201,5.938951256,dff,DS,NaN
F,12,5,1,rat4,201,6.228546841,dff,DS,NaN
F,12,5,1,rat5,201,3.650587435,dff,DS,NaN
F,12,5,3,rat9,201,6.17693209,dff,DS,NaN
F,12,5,6,rat12,201,4.136788116,dff,DS,6
F,12,5,8,rat2,201,8.067287387,dff,DS,6
F,13,5,2,rat16,201,7.187257931,dff,DS,NaN
F,13,5,2,rat4,201,8.081837803,dff,DS,NaN
F,13,5,2,rat5,201,5.559078976,dff,DS,NaN
F,13,5,4,rat9,201,8.889800357,dff,DS,NaN
F,13,5,7,rat12,201,6.071451387,dff,DS,7
F,13,5,9,rat2,201,6.344725717,dff,DS,7
F,14,5,3,rat16,201,8.094158495,dff,DS,NaN
F,14,5,3,rat4,201,6.207036595,dff,DS,1
F,14,5,3,rat5,201,8.825005643,dff,DS,NaN
F,14,5,5,rat9,201,5.393704121,dff,DS,NaN
F,14,5,8,rat12,201,4.864547029,dff,DS,8
F,14,5,10,rat2,201,6.508699618,dff,DS,8
F,15,5,4,rat16,201,8.090423207,dff,DS,NaN
F,15,5,4,rat4,201,9.712529545,dff,DS,2
F,15,5,4,rat5,201,7.941715742,dff,DS,NaN
F,15,5,6,rat9,201,6.325819819,dff,DS,NaN
F,15,5,11,rat2,201,5.741140277,dff,DS,9
F,16,5,5,rat16,201,11.23403292,dff,DS,NaN
F,16,5,5,rat4,201,6.324832937,dff,DS,3
F,16,5,5,rat5,201,6.730156839,dff,DS,NaN
F,16,5,7,rat9,201,5.385082999,dff,DS,1
F,16,5,12,rat2,201,4.927189941,dff,DS,10
F,17,5,6,rat16,201,22.27001839,dff,DS,NaN
F,17,5,6,rat4,201,11.51313941,dff,DS,4
F,17,5,6,rat5,201,7.414866934,dff,DS,NaN
F,17,5,8,rat9,201,5.840497293,dff,DS,2
F,18,5,7,rat16,201,14.76894535,dff,DS,1
F,18,5,7,rat4,201,4.96057057,dff,DS,5
F,18,5,7,rat5,201,10.4975002,dff,DS,NaN
F,18,5,9,rat9,201,7.002605041,dff,DS,3
F,19,5,8,rat16,201,19.62254931,dff,DS,2
F,19,5,8,rat4,201,6.853606469,dff,DS,6
F,19,5,8,rat5,201,10.8630992,dff,DS,1
F,19,5,10,rat9,201,7.721883789,dff,DS,4
F,20,5,9,rat16,201,18.72863161,dff,DS,3
F,20,5,9,rat4,201,1.869107563,dff,DS,7
F,20,5,9,rat5,201,6.446243294,dff,DS,2
F,20,5,11,rat9,201,5.835678775,dff,DS,5
F,21,5,10,rat16,201,18.43930196,dff,DS,4
F,21,5,10,rat4,201,4.483291622,dff,DS,8
F,21,5,10,rat5,201,5.761742662,dff,DS,3
F,21,5,12,rat9,201,7.313571544,dff,DS,6
F,22,5,11,rat16,201,11.12871987,dff,DS,5
F,22,5,11,rat4,201,9.785587987,dff,DS,9
F,22,5,11,rat5,201,7.974585773,dff,DS,4
F,22,5,13,rat9,201,4.697686269,dff,DS,7
F,23,5,12,rat16,201,18.31713623,dff,DS,6
F,23,5,12,rat4,201,5.801233437,dff,DS,10
F,23,5,12,rat5,201,5.05934169,dff,DS,5
F,23,5,14,rat9,201,7.817344194,dff,DS,8
F,24,5,13,rat16,201,17.08178688,dff,DS,7
F,24,5,13,rat5,201,6.38867613,dff,DS,6
F,24,5,15,rat9,201,8.634222392,dff,DS,9
F,25,5,14,rat16,201,19.4571162,dff,DS,8
F,25,5,14,rat5,201,6.249090356,dff,DS,7
F,25,5,16,rat9,201,5.036407533,dff,DS,10
F,26,5,15,rat16,201,16.96549254,dff,DS,9
F,26,5,15,rat5,201,7.6014743,dff,DS,8
F,27,5,16,rat16,201,18.27304505,dff,DS,10
F,27,5,16,rat5,201,6.218378691,dff,DS,9
F,28,5,17,rat5,201,6.521210432,dff,DS,10
M,6,5,1,rat13,201,2.431817697,dff,DS,1
M,7,5,2,rat13,201,2.453474352,dff,DS,2
