subj,stage,stageday,GroupCount,mean_x,mean_y
rat10,1,1,30,1,0.366666666666667
rat10,2,1,30,2,0.466666666666667
rat10,3,1,30,3,0.5
rat10,4,1,30,4,0.9
rat10,4,2,30,5,0.833333333333332
rat10,4,3,30,6,0.966666666666668
rat10,4,4,30,7,0.866666666666667
rat10,4,5,30,8,0.966666666666668
rat10,5,1,30,9,0.9
rat10,5,2,30,10,0.866666666666667
rat10,5,3,30,11,0.966666666666668
rat10,6,1,30,12,1
rat10,6,2,30,13,0.966666666666668
rat10,6,3,30,14,1
rat10,6,4,30,15,1
rat10,7,1,30,16,0.966666666666668
rat10,7,2,30,17,0.966666666666668
rat10,7,3,30,18,0.966666666666668
rat10,7,4,30,19,1
rat10,7,5,30,20,1
rat10,7,6,30,21,0.966666666666668
rat10,7,7,30,22,1
rat10,7,8,30,23,1
rat10,7,9,30,24,0.9
rat10,8,1,30,25,1
rat10,8,2,30,26,0.966666666666668
rat10,9,1,30,27,0.733333333333333
rat10,9,2,30,28,0.407407407407407
rat10,9,3,30,29,0.666666666666668
rat11,1,1,30,1,0.366666666666667
rat11,2,1,30,2,0.466666666666667
rat11,3,1,30,3,0.551724137931034
rat11,4,1,30,4,0.533333333333333
rat11,4,2,30,5,0.833333333333332
rat11,4,3,30,6,0.866666666666667
rat11,4,4,30,7,0.966666666666668
rat11,4,5,30,8,0.96551724137931
rat11,4,6,30,9,0.933333333333333
rat11,5,1,30,10,1
rat11,5,2,30,11,1
rat11,5,3,30,12,0.933333333333333
rat11,5,4,30,13,1
rat11,5,5,30,14,0.966666666666668
rat11,5,6,30,15,0.9
rat11,5,7,30,16,0.966666666666668
rat11,5,8,30,17,0.933333333333333
rat11,6,1,30,18,1
rat11,6,2,30,19,0.966666666666668
rat11,7,1,30,20,0.9
rat11,7,2,30,21,0.966666666666668
rat11,7,3,30,22,0.966666666666668
rat11,7,4,30,23,1
rat11,7,5,30,24,0.966666666666668
rat11,7,6,30,25,0.966666666666668
rat11,7,7,30,26,0.933333333333333
rat11,8,1,30,27,1
rat11,8,2,30,28,1
rat11,9,1,30,29,0.966666666666668
rat11,9,2,30,30,0.689655172413793
rat11,9,3,30,31,0.444444444444444
rat12,1,1,30,1,0.566666666666667
rat12,2,1,30,2,0.6
rat12,3,1,30,3,0.733333333333333
rat12,3,2,30,4,0.766666666666667
rat12,3,3,30,5,0.6
rat12,4,1,30,6,0.862068965517241
rat12,5,1,30,7,0.8
rat12,5,2,30,8,0.933333333333333
rat12,5,3,30,9,0.866666666666667
rat12,5,4,30,10,0.966666666666668
rat12,5,5,30,11,0.966666666666668
rat12,5,6,30,12,0.933333333333333
rat12,5,7,30,13,0.966666666666668
rat12,5,8,30,14,1
rat12,6,1,30,15,0.966666666666668
rat12,6,2,30,16,0.966666666666668
rat12,7,1,30,17,0.966666666666668
rat12,7,2,30,18,1
rat12,8,1,30,19,1
rat12,9,1,30,20,0.925925925925926
rat12,9,2,30,21,0.714285714285714
