y,cue,subj
0.966666666666668,DS,rat10
0.233333333333333,NS,rat10
0.933333333333333,DS,rat11
0.275862068965517,NS,rat11
1,DS,rat12
0.25,NS,rat12
0.766666666666667,DS,rat13
0.32,NS,rat13
1,DS,rat15
0.266666666666667,NS,rat15
1,DS,rat16
0.266666666666667,NS,rat16
1,DS,rat2
0.32,NS,rat2
0.933333333333333,DS,rat4
0.272727272727273,NS,rat4
1,DS,rat5
0.318181818181818,NS,rat5
0.8,DS,rat6
0.304347826086957,NS,rat6
0.933333333333333,DS,rat7
0.321428571428571,NS,rat7
0.933333333333333,DS,rat8
0.321428571428571,NS,rat8
0.966666666666668,DS,rat9
0.307692307692308,NS,rat9
