subj,stage,stageday,GroupCount,mean_x,mean_y,last10days
rat10,5,1,30,9,0.566666666666667,8
rat10,5,2,30,10,0.607142857142857,9
rat10,5,3,30,11,0.233333333333333,10
rat11,5,1,30,10,0.833333333333332,3
rat11,5,2,30,11,0.7,4
rat11,5,3,30,12,0.4,5
rat11,5,4,30,13,0.481481481481481,6
rat11,5,5,30,14,0.333333333333333,7
rat11,5,6,30,15,0.3,8
rat11,5,7,30,16,0.391304347826087,9
rat11,5,8,30,17,0.275862068965517,10
rat12,5,1,30,7,0.666666666666668,3
rat12,5,2,30,8,0.758620689655172,4
rat12,5,3,30,9,0.533333333333333,5
rat12,5,4,30,10,0.379310344827586,6
rat12,5,5,30,11,0.566666666666667,7
rat12,5,6,30,12,0.7,8
rat12,5,7,30,13,0.482758620689655,9
rat12,5,8,30,14,0.25,10
rat13,5,1,30,6,0.6,3
rat13,5,2,30,7,0.407407407407407,4
rat13,5,3,30,8,0.481481481481481,5
rat13,5,4,30,9,0.482758620689655,6
rat13,5,5,30,10,0.551724137931034,7
rat13,5,6,30,11,0.620689655172414,8
rat13,5,7,30,12,0.821428571428571,9
rat13,5,8,30,13,0.32,10
rat15,5,1,30,10,0.866666666666667,NaN
rat15,5,2,30,11,0.93103448275862,NaN
rat15,5,3,30,12,0.7,NaN
rat15,5,4,30,13,0.7,1
rat15,5,5,30,14,0.633333333333333,2
rat15,5,6,30,15,0.538461538461538,3
rat15,5,7,30,16,0.586206896551724,4
rat15,5,8,30,17,0.4,5
rat15,5,9,30,18,0.3,6
rat15,5,10,30,19,0.357142857142857,7
rat15,5,11,30,20,0.458333333333333,8
rat15,5,12,30,21,0.266666666666667,9
rat15,5,13,30,22,0.366666666666667,10
rat16,5,1,30,12,0.4,NaN
rat16,5,2,30,13,0.535714285714286,NaN
rat16,5,3,30,14,0.766666666666667,NaN
rat16,5,4,30,15,0.7,NaN
rat16,5,5,30,16,0.428571428571429,NaN
rat16,5,6,30,17,0.7,NaN
rat16,5,7,30,18,0.666666666666668,1
rat16,5,8,30,19,0.357142857142857,2
rat16,5,9,30,20,0.592592592592593,3
rat16,5,10,30,21,0.62962962962963,4
rat16,5,11,30,22,0.466666666666667,5
rat16,5,12,30,23,0.333333333333333,6
rat16,5,13,30,24,0.4,7
rat16,5,14,30,25,0.4,8
rat16,5,15,30,26,0.482758620689655,9
rat16,5,16,30,27,0.266666666666667,10
rat2,5,1,30,5,0.733333333333333,NaN
rat2,5,2,30,6,0.888888888888889,NaN
rat2,5,3,30,7,0.785714285714286,1
rat2,5,4,30,8,0.862068965517241,2
rat2,5,5,30,9,0.7,3
rat2,5,6,30,10,0.633333333333333,4
rat2,5,7,30,11,0.733333333333333,5
rat2,5,8,30,12,0.571428571428571,6
rat2,5,9,30,13,0.366666666666667,7
rat2,5,10,30,14,0.347826086956522,8
rat2,5,11,30,15,0.433333333333333,9
rat2,5,12,30,16,0.32,10
rat3,5,1,30,15,0.4,NaN
rat3,5,2,30,16,0.481481481481481,NaN
rat3,5,3,30,17,0.363636363636364,1
rat3,5,4,30,18,0.285714285714286,2
rat3,5,5,30,19,0.758620689655172,3
rat3,5,6,30,20,0.533333333333333,4
rat3,5,7,30,21,0.6,5
rat3,5,8,30,22,0.633333333333333,6
rat3,5,9,30,23,0.758620689655172,7
rat3,5,10,30,24,0.766666666666667,8
rat3,5,11,30,25,0.8,9
rat3,5,12,30,26,0.6,10
rat4,5,1,30,12,0.620689655172414,NaN
rat4,5,2,30,13,0.7,NaN
rat4,5,3,30,14,0.517241379310345,1
rat4,5,4,30,15,0.535714285714286,2
rat4,5,5,30,16,0.724137931034483,3
rat4,5,6,30,17,0.448275862068966,4
rat4,5,7,30,18,0.535714285714286,5
rat4,5,8,30,19,0.6,6
rat4,5,9,30,20,0.384615384615385,7
rat4,5,10,30,21,0.44,8
rat4,5,11,30,22,0.379310344827586,9
rat4,5,12,30,23,0.272727272727273,10
rat5,5,1,30,12,0.433333333333333,NaN
rat5,5,2,30,13,0.6,NaN
rat5,5,3,30,14,0.586206896551724,NaN
rat5,5,4,30,15,0.607142857142857,NaN
rat5,5,5,30,16,0.592592592592593,NaN
rat5,5,6,30,17,0.6,NaN
rat5,5,7,30,18,0.666666666666668,NaN
rat5,5,8,30,19,0.607142857142857,1
rat5,5,9,30,20,0.586206896551724,2
rat5,5,10,30,21,0.551724137931034,3
rat5,5,11,30,22,0.633333333333333,4
rat5,5,12,30,23,0.689655172413793,5
rat5,5,13,30,24,0.448275862068966,6
rat5,5,14,30,25,0.517241379310345,7
