rho_bins,bin,rat,event
0.00263606251005749,0.0375,rat10,shuff
0.0057828760366867,0.1375,rat10,shuff
0.0102812750950772,0.2375,rat10,shuff
0.00926398401178109,0.3375,rat10,shuff
0.00697896944086542,0.4375,rat10,shuff
-0.00160345383655319,0.5375,rat10,shuff
-0.00792939892900055,0.6375,rat10,shuff
-0.0158690191497532,0.7375,rat10,shuff
-0.0272087866634001,0.8375,rat10,shuff
-0.0166016895892619,0.9375,rat10,shuff
-0.00137049051956816,1.0375,rat10,shuff
-0.00689677654243471,1.1375,rat10,shuff
-0.00978828662628167,1.2375,rat10,shuff
-0.00694408034050512,1.3375,rat10,shuff
-0.0055437864022784,1.4375,rat10,shuff
-0.00197145050156012,1.5375,rat10,shuff
-0.0123288261123335,1.6375,rat10,shuff
-0.0115553198999805,1.7375,rat10,shuff
-0.00788285428787855,1.8375,rat10,shuff
-0.0196703839612804,1.9375,rat10,shuff
0.000317714767086781,2.0375,rat10,shuff
-0.00243834753667959,2.1375,rat10,shuff
0.00215223689671778,2.2375,rat10,shuff
-0.00924498353228585,2.3375,rat10,shuff
-0.020168121064326,2.4375,rat10,shuff
-0.0412485305091742,2.5375,rat10,shuff
-0.0480210899827199,2.6375,rat10,shuff
-0.0274470121067153,2.7375,rat10,shuff
-0.00663084759379318,2.8375,rat10,shuff
0.00123225795491875,2.9375,rat10,shuff
0.0176376102440034,3.0375,rat10,shuff
0.00341788349250106,3.1375,rat10,shuff
0.000195970184832238,3.2375,rat10,shuff
0.0132496698693922,3.3375,rat10,shuff
0.0401638612305357,3.4375,rat10,shuff
0.0631703332941189,3.5375,rat10,shuff
0.0631792253701979,3.6375,rat10,shuff
0.0709653450269729,3.7375,rat10,shuff
0.0860684411873984,3.8375,rat10,shuff
0.118937967398043,3.9375,rat10,shuff
0.105045395920442,4.0375,rat10,shuff
0.0918222320270711,4.1375,rat10,shuff
0.0383394393369527,4.2375,rat10,shuff
0.0284460147721536,4.3375,rat10,shuff
0.00536354584536549,4.4375,rat10,shuff
-0.008129306136878,4.5375,rat10,shuff
0.0125242269074655,4.6375,rat10,shuff
0.00940200237892349,4.7375,rat10,shuff
0.0180278769442013,4.8375,rat10,shuff
0.0339040298388878,4.9375,rat10,shuff
-0.00116137278979831,0.0375,rat11,shuff
0.00393873071469984,0.1375,rat11,shuff
0.0079690016354686,0.2375,rat11,shuff
0.0102563013407554,0.3375,rat11,shuff
0.0104000517315488,0.4375,rat11,shuff
0.00698492563613026,0.5375,rat11,shuff
0.00564455454040725,0.6375,rat11,shuff
0.0046113381658372,0.7375,rat11,shuff
0.00819655434509894,0.8375,rat11,shuff
0.00771241098708147,0.9375,rat11,shuff
0.00699448252936429,1.0375,rat11,shuff
0.00600989609514764,1.1375,rat11,shuff
-0.00117652605599027,1.2375,rat11,shuff
-0.00622270298511741,1.3375,rat11,shuff
-0.00150567311692721,1.4375,rat11,shuff
-0.00152489198807615,1.5375,rat11,shuff
-0.00236345836451572,1.6375,rat11,shuff
-0.00121729504004975,1.7375,rat11,shuff
0.00256773939137141,1.8375,rat11,shuff
0.0036889595669962,1.9375,rat11,shuff
0.00918752866912806,2.0375,rat11,shuff
0.00827239023945131,2.1375,rat11,shuff
0.00672430764802933,2.2375,rat11,shuff
0.00386723856983874,2.3375,rat11,shuff
0.00104619143856897,2.4375,rat11,shuff
-0.000863023980908313,2.5375,rat11,shuff
0.00568038190573639,2.6375,rat11,shuff
0.00518402126603655,2.7375,rat11,shuff
0.0147214298251155,2.8375,rat11,shuff
0.00411539582274948,2.9375,rat11,shuff
0.00258981039222738,3.0375,rat11,shuff
-0.00387949677604117,3.1375,rat11,shuff
-0.00585468424564942,3.2375,rat11,shuff
-0.0116954977937548,3.3375,rat11,shuff
-0.0362700581254723,3.4375,rat11,shuff
-0.0457343148155117,3.5375,rat11,shuff
-0.0364750036963077,3.6375,rat11,shuff
-0.0418103359506972,3.7375,rat11,shuff
-0.0431185640001462,3.8375,rat11,shuff
-0.0366208572106543,3.9375,rat11,shuff
-0.0345712507203966,4.0375,rat11,shuff
-0.0414475837876085,4.1375,rat11,shuff
-0.0350353316753888,4.2375,rat11,shuff
-0.0328080106995636,4.3375,rat11,shuff
-0.0366282596861721,4.4375,rat11,shuff
-0.0539446819324188,4.5375,rat11,shuff
-0.0444135478083127,4.6375,rat11,shuff
-0.026520611567107,4.7375,rat11,shuff
-0.0108153528580076,4.8375,rat11,shuff
0.000412743551419907,4.9375,rat11,shuff
0.0305658053946645,0.0375,rat12,shuff
0.0319892101477627,0.1375,rat12,shuff
0.0298152285685567,0.2375,rat12,shuff
0.0243167873466645,0.3375,rat12,shuff
